"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags","Notes"
"MSP metadata information for Positive polarity at 40 eV for 6545","MSP metadata information for Positive polarity at 40 eV for 6545 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/metdt_pos40_6545.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"MSP metadata information for Positive polarity at 40 eV for 6546","MSP metadata information for Positive polarity at 40 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/metdt_pos40_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"MSP metadata information for Positive polarity at 60 eV for 6546","MSP metadata information for Positive polarity at 60 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/metdt_pos60_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"MSP metadata information for Positive polarity at 80 eV for 6546","MSP metadata information for Positive polarity at 80 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/metdt_pos80_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"MSP metadata information for Positive polarity at 60 and 80 eV for 6546","MSP metadata information for Positive polarity at 60 and 80 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg20_6545.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 20 eV for 6545","compound read information for Negative polarity at 20 eV for 6545 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg20_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 20 eV for 6546","compound read information for Negative polarity at 20 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg40_6545.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 40 eV for 6545","compound read information for Negative polarity at 40 eV for 6545 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg40_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 40 eV for 6546","compound read information for Negative polarity at 40 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg60_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 60 eV for 6546","compound read information for Negative polarity at 60 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_neg80_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Negative polarity at 80 eV for 6546","compound read information for Negative polarity at 80 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos20_6545.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 20 eV for 6545","compound read information for Positive polarity at 20 eV for 6545 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos20_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 20 eV for 6546","compound read information for Positive polarity at 20 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos40_6545.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 40 eV for 6545","compound read information for Positive polarity at 40 eV for 6545 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos40_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 40 eV for 6546","compound read information for Positive polarity at 40 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos60_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 60 eV for 6546","compound read information for Positive polarity at 60 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos6080_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"compound read information for Positive polarity at 80 eV for 6546","compound read information for Positive polarity at 80 eV for 6546 data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/read_pos80_6546.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
"Chemicall classification for metabolites according to Classyfire","Chemicall classification for metabolites according to Classyfire data aimed to be used jointly with MS2extract package for creating in-house MS/MS libraries","3.18","Not applicable","RData","https://github.com/CooperstoneLab/PhenolicsDB","Oct 13 2023",NA,"3750",NA,"Cooperstone Lab","Cristian Quiroz-Moreno <cristianquirozd1997@gmail.com>","data.frame","Rda","PhenolicsDB/data/smiles2classyfire.rda","Mass Spectrometry","Data created to be used in the MS2extract pacakge"
